,Unnamed: 0,Teacher_ID,Full_Name,Subject,Grade_Level,Years_Exp,Regional_Priority_Skills,School_SES_Rating,Student_Teacher_Ratio,Region,Skills
0,0,T1000,Teacher_0,Computer Science,9,11,"AI_Literacy, Digital_Citizenship",0.26,31.0,Semi-Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
1,1,T1001,Teacher_1,Physics,9,15,Data_Ethics,0.63,23.3,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
2,2,T1002,Teacher_2,Biology,12,4,Climate_Science,0.84,17.4,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
3,3,T1003,Teacher_3,Computer Science,7,4,"AI_Literacy, Digital_Citizenship",0.81,17.2,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
4,4,T1004,Teacher_4,World History,6,1,Standard_Curriculum,0.85,19.3,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
5,5,T1005,Teacher_5,World History,12,9,Standard_Curriculum,0.97,16.7,Rural,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
6,6,T1006,Teacher_6,English Literature,6,1,Mental_Health_First_Aid,0.05,32.6,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
7,7,T1007,Teacher_7,Chemistry,10,11,Data_Ethics,0.86,16.6,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
8,8,T1008,Teacher_8,English Literature,8,10,Standard_Curriculum,0.19,31.0,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
9,9,T1009,Teacher_9,Chemistry,12,3,Data_Ethics,0.84,16.1,Semi-Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
10,10,T1010,Teacher_10,English Literature,12,8,Standard_Curriculum,0.27,29.7,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
11,11,T1011,Teacher_11,Physics,12,12,Data_Ethics,0.17,27.6,Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
12,12,T1012,Teacher_12,English Literature,6,9,Mental_Health_First_Aid,0.14,32.6,Semi-Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
13,13,T1013,Teacher_13,Biology,9,7,Climate_Science,0.88,16.4,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
14,14,T1014,Teacher_14,English Literature,6,8,Standard_Curriculum,0.37,27.3,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
15,15,T1015,Teacher_15,Mathematics,12,4,Data_Ethics,0.79,19.2,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
16,16,T1016,Teacher_16,English Literature,8,2,Standard_Curriculum,0.86,18.6,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
17,17,T1017,Teacher_17,Computer Science,7,3,"AI_Literacy, Digital_Citizenship",0.67,20.7,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
18,18,T1018,Teacher_18,Mathematics,9,5,Data_Ethics,0.17,32.4,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
19,19,T1019,Teacher_19,World History,6,9,Standard_Curriculum,0.26,32.6,Semi-Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
20,20,T1020,Teacher_20,English Literature,6,10,Mental_Health_First_Aid,0.06,32.4,Rural,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
21,21,T1021,Teacher_21,Biology,8,13,Climate_Science,0.3,33.1,Semi-Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
22,22,T1022,Teacher_22,Mathematics,10,8,"Data_Ethics, Mental_Health_First_Aid",0.85,15.3,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
23,23,T1023,Teacher_23,World History,8,6,Standard_Curriculum,0.87,16.9,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
24,24,T1024,Teacher_24,Mathematics,8,11,"Data_Ethics, Mental_Health_First_Aid",0.8,17.8,Rural,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
25,25,T1025,Teacher_25,Physics,12,9,Data_Ethics,0.95,14.6,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
26,26,T1026,Teacher_26,Chemistry,7,8,Data_Ethics,0.72,22.1,Urban,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
27,27,T1027,Teacher_27,Biology,8,4,Climate_Science,0.51,22.0,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
28,28,T1028,Teacher_28,Physics,7,3,"Data_Ethics, Mental_Health_First_Aid",0.73,18.5,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
29,29,T1029,Teacher_29,English Literature,9,4,Standard_Curriculum,0.33,25.4,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
30,30,T1030,Teacher_30,Physics,10,7,"Data_Ethics, Mental_Health_First_Aid",0.79,20.4,Semi-Urban,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
31,31,T1031,Teacher_31,World History,6,9,Standard_Curriculum,0.94,14.3,Urban,"Historiography, Archival Research, Cultural Competency, Classroom Management, Lesson Planning, Student Engagement"
32,32,T1032,Teacher_32,Mathematics,10,10,"Data_Ethics, Mental_Health_First_Aid",0.94,18.6,Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
33,33,T1033,Teacher_33,English Literature,9,1,Mental_Health_First_Aid,0.1,32.7,Urban,"Literary Criticism, Creative Writing, Linguistics, Classroom Management, Lesson Planning, Student Engagement"
34,34,T1034,Teacher_34,Chemistry,9,8,Data_Ethics,0.06,34.5,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
35,35,T1035,Teacher_35,Physics,8,7,"Data_Ethics, Mental_Health_First_Aid",0.25,29.1,Rural,"Thermodynamics, Calculus-based Modeling, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
36,36,T1036,Teacher_36,Biology,7,12,Climate_Science,0.77,20.4,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
37,37,T1037,Teacher_37,Chemistry,6,4,Data_Ethics,0.36,28.9,Rural,"Chemical Analysis, Stoichiometry, Lab Safety, Classroom Management, Lesson Planning, Student Engagement"
38,38,T1038,Teacher_38,Computer Science,6,2,"AI_Literacy, Digital_Citizenship, Mental_Health_First_Aid",0.06,34.4,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
39,39,T1039,Teacher_39,Computer Science,9,7,"AI_Literacy, Digital_Citizenship",0.76,21.0,Rural,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
40,40,T1040,Teacher_40,Mathematics,12,11,"Data_Ethics, Mental_Health_First_Aid",0.89,16.0,Semi-Urban,"Statistical Analysis (R/SPSS), Geometry, Algebraic Modeling, Classroom Management, Lesson Planning, Student Engagement"
41,41,T1041,Teacher_41,Biology,6,6,Climate_Science,0.77,21.3,Urban,"Genetics, Microscopy, Inquiry-based Learning, Classroom Management, Lesson Planning, Student Engagement"
42,42,T1042,Teacher_42,Computer Science,12,5,"AI_Literacy, Digital_Citizenship",0.81,20.1,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
43,43,T1043,Teacher_43,Computer Science,11,7,"AI_Literacy, Digital_Citizenship",0.11,34.7,Urban,"Python/Java, Algorithms, Web Development, Cybersecurity, Classroom Management, Lesson Planning, Student Engagement"
